TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud,Hours,DayOfWeek
1,2024-04-03 14:15:35.462794,4189.27,688,refund,San Antonio,0,14,3
2,2024-03-19 13:20:35.462824,2659.71,109,refund,Dallas,0,13,19
3,2024-01-08 10:08:35.462834,784.0,394,purchase,New York,0,10,8
4,2024-04-13 23:50:35.462850,3514.4,944,purchase,Philadelphia,0,23,13
5,2024-07-12 18:51:35.462858,369.07,475,purchase,Phoenix,0,18,12
6,2024-08-30 01:52:35.462867,3086.22,302,purchase,New York,0,1,30
7,2024-01-02 11:31:35.462875,1466.9,902,refund,Philadelphia,0,11,2
8,2024-05-12 12:25:35.462885,917.21,266,purchase,New York,0,12,12
9,2023-11-16 02:20:35.462894,1625.73,32,refund,Chicago,0,2,16
10,2023-10-24 06:51:35.462901,662.07,193,purchase,Dallas,0,6,24
11,2024-08-10 17:08:35.462908,3895.94,349,refund,San Antonio,0,17,10
12,2024-08-27 16:03:35.462915,944.94,359,purchase,San Jose,0,16,27
13,2024-08-31 02:38:35.462922,2855.69,219,refund,New York,0,2,31
14,2023-11-12 13:30:35.462928,4313.82,617,refund,San Jose,0,13,12
15,2024-07-13 09:02:35.462935,4599.06,529,refund,Philadelphia,0,9,13
16,2024-03-23 06:20:35.462942,1524.05,462,purchase,San Diego,0,6,23
17,2024-01-04 22:23:35.462948,2721.95,912,refund,New York,0,22,4
18,2023-11-05 23:33:35.462955,1357.76,522,refund,New York,0,23,5
19,2024-02-29 06:41:35.462962,4726.01,456,purchase,Dallas,0,6,29
20,2024-01-16 01:48:35.462969,1814.95,134,refund,Houston,0,1,16
21,2024-01-19 11:10:35.462976,269.8,51,refund,San Jose,0,11,19
22,2024-05-18 17:16:35.462983,512.1,196,purchase,Philadelphia,0,17,18
23,2024-04-13 22:57:35.462989,2932.64,813,refund,Chicago,0,22,13
24,2024-03-22 18:11:35.462995,1177.11,878,refund,Philadelphia,0,18,22
25,2024-07-15 09:41:35.463002,3661.74,521,purchase,Dallas,0,9,15
26,2024-10-10 00:28:35.463008,3664.95,348,purchase,San Antonio,0,0,10
27,2024-09-22 11:17:35.463015,4186.42,725,purchase,New York,0,11,22
28,2024-08-18 22:07:35.463021,1542.27,44,purchase,Houston,0,22,18
29,2024-06-23 23:24:35.463041,4360.74,605,refund,Chicago,0,23,23
30,2024-06-12 01:15:35.463048,862.62,347,purchase,San Diego,0,1,12
31,2024-07-24 17:19:35.463054,1062.73,595,refund,Chicago,0,17,24
32,2024-07-04 01:22:35.463059,4162.63,163,purchase,San Jose,0,1,4
33,2024-07-22 16:26:35.463064,3439.54,781,refund,San Antonio,0,16,22
34,2024-06-08 20:00:35.463071,3953.72,510,purchase,Phoenix,0,20,8
35,2024-05-17 08:14:35.463077,516.14,469,refund,San Diego,0,8,17
36,2024-07-28 09:38:35.463082,1069.35,322,refund,Phoenix,0,9,28
37,2024-04-09 19:33:35.463088,1951.61,991,refund,Philadelphia,0,19,9
38,2024-05-27 02:09:35.463094,2084.95,369,refund,San Jose,0,2,27
39,2024-08-09 09:02:35.463100,3204.04,663,purchase,Houston,0,9,9
40,2023-12-09 18:12:35.463118,58.49,284,refund,Philadelphia,0,18,9
41,2024-02-19 21:10:35.463122,3472.91,788,refund,San Diego,0,21,19
42,2024-08-07 00:51:35.463125,1488.04,207,purchase,Los Angeles,0,0,7
43,2024-03-13 02:20:35.463131,774.15,661,refund,Dallas,0,2,13
44,2024-03-26 23:08:35.463136,2346.77,31,refund,Houston,0,23,26
45,2024-06-14 14:43:35.463142,616.82,4,refund,Los Angeles,0,14,14
46,2024-07-21 19:23:35.463147,2052.8,980,refund,Houston,0,19,21
47,2024-05-22 16:45:35.463153,4833.08,251,refund,Chicago,0,16,22
48,2024-09-25 13:03:35.463158,4652.12,334,purchase,San Diego,0,13,25
49,2024-09-07 13:05:35.463164,2486.55,978,refund,Phoenix,0,13,7
50,2024-05-02 10:03:35.463171,3968.51,639,purchase,Philadelphia,0,10,2
51,2023-11-02 06:58:35.463175,29.32,620,refund,Chicago,0,6,2
52,2024-01-17 02:02:35.463179,817.4,57,refund,Chicago,0,2,17
53,2024-10-15 23:29:35.463182,1801.08,456,refund,San Jose,0,23,15
54,2023-12-12 05:00:35.463186,740.67,970,purchase,San Antonio,0,5,12
55,2024-10-03 12:01:35.463189,2700.55,430,purchase,New York,0,12,3
56,2024-02-28 19:04:35.463192,875.22,437,purchase,Houston,0,19,28
57,2023-11-27 15:19:35.463196,3021.84,685,refund,San Diego,0,15,27
58,2024-08-02 04:48:35.463200,3558.8,274,purchase,Philadelphia,0,4,2
59,2023-12-27 13:45:35.463203,442.85,12,refund,Chicago,0,13,27
60,2024-08-13 17:38:35.463206,3836.6,277,refund,Dallas,0,17,13
61,2024-05-14 17:17:35.463210,4707.89,94,refund,San Antonio,0,17,14
62,2024-06-26 05:38:35.463213,2069.71,400,purchase,New York,0,5,26
63,2024-09-28 15:35:35.463217,1022.13,526,refund,Phoenix,0,15,28
64,2024-04-04 09:58:35.463220,3916.07,576,refund,San Jose,0,9,4
65,2024-01-13 13:20:35.463224,1977.93,879,refund,Dallas,0,13,13
66,2024-06-05 01:51:35.463227,720.95,680,purchase,Houston,0,1,5
67,2023-12-23 18:01:35.463231,1788.8,546,purchase,Philadelphia,0,18,23
68,2024-02-13 02:09:35.463234,3448.81,219,refund,San Diego,0,2,13
69,2024-05-13 18:40:35.463237,3443.84,555,refund,Dallas,0,18,13
70,2024-01-02 23:54:35.463241,493.08,412,purchase,Los Angeles,0,23,2
71,2024-03-09 14:03:35.463244,4372.58,210,refund,New York,0,14,9
72,2024-03-23 10:26:35.463247,235.06,363,purchase,New York,0,10,23
73,2024-04-30 20:43:35.463251,1708.71,112,refund,San Diego,0,20,30
74,2024-08-29 16:54:35.463254,3374.61,109,refund,New York,0,16,29
75,2024-10-12 14:17:35.463257,2298.56,469,refund,Philadelphia,0,14,12
76,2024-08-24 01:23:35.463260,2988.26,823,purchase,San Jose,0,1,24
77,2024-04-13 01:42:35.463264,2015.55,447,purchase,San Diego,0,1,13
78,2024-01-15 05:40:35.463268,1509.45,619,refund,Philadelphia,0,5,15
79,2024-02-13 19:04:35.463274,4611.36,94,refund,Los Angeles,0,19,13
80,2024-01-10 23:52:35.463279,222.74,620,purchase,Los Angeles,0,23,10
81,2024-09-20 09:25:35.463285,4298.25,979,refund,Philadelphia,0,9,20
82,2024-09-15 14:23:35.463291,1007.32,770,refund,Phoenix,0,14,15
83,2024-09-09 14:50:35.463297,2166.21,807,purchase,New York,0,14,9
84,2024-10-19 22:34:35.463302,2522.34,52,purchase,Philadelphia,0,22,19
85,2023-11-05 09:17:35.463308,2282.71,196,purchase,Dallas,0,9,5
86,2024-05-09 07:11:35.463314,2377.94,282,purchase,Houston,0,7,9
87,2024-01-25 11:48:35.463320,1081.21,926,refund,Chicago,0,11,25
88,2024-06-08 00:57:35.463327,4152.22,397,refund,San Antonio,0,0,8
89,2023-11-16 17:48:35.463332,3947.26,431,refund,Houston,0,17,16
90,2024-03-29 00:43:35.463338,1370.1,701,refund,Philadelphia,0,0,29
91,2023-12-27 19:22:35.463344,4922.69,846,refund,New York,0,19,27
92,2024-01-07 10:11:35.463350,2356.42,941,purchase,New York,0,10,7
93,2024-08-05 03:56:35.463356,4527.03,817,purchase,Dallas,0,3,5
94,2024-09-16 05:06:35.463363,2006.0,87,refund,San Antonio,0,5,16
95,2024-05-05 02:56:35.463368,1923.78,708,refund,New York,0,2,5
96,2024-09-05 21:48:35.463374,1209.88,336,purchase,Philadelphia,0,21,5
97,2024-07-31 06:21:35.463381,3558.24,188,refund,San Jose,0,6,31
98,2024-10-18 14:51:35.463387,923.88,407,purchase,San Jose,0,14,18
99,2024-09-27 04:02:35.463392,4836.36,656,purchase,Chicago,0,4,27
100,2024-07-20 10:12:35.463397,3396.1,818,purchase,Philadelphia,0,10,20
101,2024-07-15 12:29:35.463402,2522.38,68,refund,Chicago,0,12,15
102,2024-08-24 02:05:35.463408,433.94,837,purchase,Chicago,0,2,24
103,2024-10-16 00:00:35.463414,4975.64,37,refund,Houston,0,0,16
104,2024-06-02 11:12:35.463419,772.43,78,refund,Dallas,0,11,2
105,2024-06-25 23:59:35.463422,814.27,348,refund,New York,0,23,25
106,2024-04-30 01:11:35.463425,3016.19,574,purchase,Los Angeles,0,1,30
107,2023-11-15 13:50:35.463429,639.68,725,refund,New York,0,13,15
108,2024-09-27 14:43:35.463432,3593.48,376,purchase,San Diego,0,14,27
109,2024-03-06 20:36:35.463436,3593.2,934,refund,Los Angeles,0,20,6
110,2024-07-22 23:48:35.463440,785.79,78,refund,Phoenix,0,23,22
111,2024-10-01 16:07:35.463443,1404.77,727,refund,San Jose,0,16,1
112,2023-11-02 02:28:35.463447,388.09,258,purchase,San Diego,0,2,2
113,2023-12-28 13:56:35.463451,4469.05,441,purchase,Chicago,0,13,28
114,2024-08-10 14:35:35.463460,3084.23,305,refund,Phoenix,0,14,10
115,2023-11-22 06:40:35.463463,3268.77,364,refund,San Diego,0,6,22
116,2024-04-30 04:15:35.463467,4443.7,339,purchase,New York,0,4,30
117,2024-08-16 14:57:35.463470,3773.79,382,purchase,San Jose,0,14,16
118,2024-02-01 12:46:35.463473,2525.84,464,purchase,San Diego,0,12,1
119,2024-06-13 20:41:35.463477,2827.55,714,purchase,San Diego,0,20,13
120,2024-03-05 00:53:35.463480,1019.46,244,refund,San Diego,0,0,5
121,2024-03-28 06:56:35.463483,1476.27,231,refund,Los Angeles,0,6,28
122,2024-09-22 19:20:35.463487,1871.58,443,purchase,Phoenix,0,19,22
123,2024-09-05 14:29:35.463490,1290.73,455,refund,New York,0,14,5
124,2024-06-05 02:51:35.463493,3904.09,608,purchase,Philadelphia,0,2,5
125,2024-09-30 15:20:35.463496,303.11,232,refund,Chicago,0,15,30
126,2024-01-21 13:36:35.463500,1445.21,955,refund,San Jose,0,13,21
127,2023-10-28 18:11:35.463503,2797.59,897,purchase,Los Angeles,0,18,28
128,2023-12-15 20:26:35.463507,4820.74,663,refund,San Jose,0,20,15
129,2024-05-22 02:20:35.463510,4676.86,983,purchase,Chicago,0,2,22
130,2024-04-19 14:46:35.463514,2131.67,349,purchase,Dallas,0,14,19
131,2024-08-17 06:02:35.463517,4593.26,366,refund,San Jose,0,6,17
132,2024-05-15 13:00:35.463520,2964.31,486,purchase,San Antonio,0,13,15
133,2024-06-25 23:19:35.463524,4452.56,587,refund,Chicago,0,23,25
134,2024-03-01 22:24:35.463527,1064.75,816,purchase,New York,0,22,1
135,2023-11-29 05:34:35.463530,1950.97,648,purchase,San Antonio,0,5,29
136,2024-10-16 13:16:35.463534,3033.38,207,refund,San Diego,0,13,16
137,2024-01-03 07:07:35.463537,4579.91,806,purchase,Chicago,0,7,3
138,2024-10-10 04:30:35.463541,4463.06,616,purchase,New York,0,4,10
139,2024-03-15 12:09:35.463544,4824.21,163,refund,Phoenix,0,12,15
140,2023-11-12 00:24:35.463547,1606.55,728,refund,Phoenix,0,0,12
141,2023-10-30 04:47:35.463551,3050.67,814,purchase,Philadelphia,0,4,30
142,2024-01-03 02:46:35.463554,3465.81,688,purchase,Dallas,0,2,3
143,2023-11-30 15:45:35.463557,1629.28,621,refund,Houston,0,15,30
144,2024-01-24 05:45:35.463561,3806.2,141,refund,Houston,0,5,24
145,2024-03-21 03:03:35.463564,3506.76,282,refund,Phoenix,0,3,21
146,2024-03-15 03:48:35.463568,1893.07,818,purchase,Houston,0,3,15
147,2024-01-24 03:05:35.463571,3022.31,294,refund,San Antonio,0,3,24
148,2024-09-09 12:14:35.463575,1649.57,675,purchase,San Antonio,0,12,9
149,2023-12-07 16:31:35.463578,2735.8,574,purchase,San Diego,0,16,7
150,2024-08-16 10:21:35.463582,602.35,381,purchase,San Antonio,0,10,16
151,2024-09-08 05:36:35.463585,3214.15,565,purchase,Los Angeles,0,5,8
152,2023-11-14 21:39:35.463588,3732.15,794,refund,Phoenix,0,21,14
153,2024-02-20 19:41:35.463592,1705.68,174,purchase,Chicago,0,19,20
154,2023-12-04 17:22:35.463596,3354.2,207,purchase,Phoenix,0,17,4
155,2024-08-13 02:19:35.463599,1155.19,187,refund,Houston,0,2,13
156,2024-03-19 14:07:35.463602,22.08,964,purchase,Philadelphia,0,14,19
157,2023-10-23 01:11:35.463606,2545.43,118,refund,Houston,0,1,23
158,2024-04-08 02:01:35.463609,3173.84,279,purchase,Philadelphia,0,2,8
159,2024-07-06 15:17:35.463613,2458.68,681,refund,San Antonio,0,15,6
160,2024-05-23 12:10:35.463616,331.2,796,refund,San Jose,0,12,23
161,2024-09-22 01:15:35.463620,3947.38,434,refund,San Jose,0,1,22
162,2024-06-12 09:27:35.463624,768.44,1,purchase,Phoenix,0,9,12
163,2024-02-18 13:54:35.463629,3277.91,824,purchase,Philadelphia,0,13,18
164,2023-11-16 16:05:35.463632,4385.78,560,refund,San Jose,0,16,16
165,2023-11-26 07:21:35.463636,4195.53,789,refund,San Jose,0,7,26
166,2023-11-30 06:14:35.463639,2596.94,471,refund,San Diego,0,6,30
167,2024-04-01 20:00:35.463643,4411.72,666,refund,San Diego,0,20,1
168,2024-04-19 17:35:35.463646,1796.39,584,refund,New York,0,17,19
169,2024-06-18 00:14:35.463649,1282.88,255,purchase,San Diego,0,0,18
170,2024-07-25 02:21:35.463652,1812.72,28,purchase,San Antonio,0,2,25
171,2024-09-01 16:23:35.463656,2105.09,551,refund,San Jose,0,16,1
172,2024-03-15 23:57:35.463659,180.77,826,refund,Phoenix,0,23,15
173,2023-12-31 10:49:35.463662,68.85,737,purchase,Phoenix,0,10,31
174,2024-05-13 20:59:35.463666,194.61,303,refund,San Diego,0,20,13
175,2024-04-06 18:11:35.463669,4100.37,3,purchase,Los Angeles,0,18,6
176,2023-12-30 20:56:35.463673,3246.92,505,refund,San Jose,0,20,30
177,2024-08-03 11:45:35.463676,3411.73,502,refund,Houston,0,11,3
178,2024-05-05 21:02:35.463679,3342.67,484,purchase,San Diego,0,21,5
179,2023-11-15 22:34:35.463696,620.53,582,purchase,Phoenix,0,22,15
180,2024-01-01 08:29:35.463702,1986.08,714,refund,Phoenix,0,8,1
181,2024-01-04 07:30:35.463711,3427.7,232,purchase,Los Angeles,0,7,4
182,2024-05-27 06:22:35.463717,4954.15,210,refund,Houston,0,6,27
183,2023-12-01 10:18:35.463721,2282.14,27,purchase,Los Angeles,0,10,1
184,2024-07-14 22:02:35.463724,1489.88,706,purchase,San Diego,0,22,14
185,2024-02-24 05:51:35.463727,65.35,429,purchase,Dallas,0,5,24
186,2024-07-20 08:52:35.463731,1919.7,828,refund,Dallas,0,8,20
187,2024-04-17 20:34:35.463734,2189.78,174,refund,Chicago,0,20,17
188,2023-10-31 07:21:35.463738,3666.78,361,purchase,New York,0,7,31
189,2024-08-01 21:31:35.463741,4315.43,627,purchase,Philadelphia,0,21,1
190,2024-07-21 08:33:35.463744,3651.59,75,refund,San Diego,0,8,21
191,2024-09-07 18:24:35.463748,1703.8,916,purchase,San Jose,1,18,7
192,2024-04-27 01:48:35.463751,4248.1,862,purchase,San Jose,1,1,27
193,2024-09-03 22:21:35.463754,1706.64,417,refund,San Antonio,0,22,3
194,2024-09-30 05:04:35.463757,2444.96,615,purchase,New York,0,5,30
195,2024-09-30 05:27:35.463761,2945.76,37,purchase,Philadelphia,0,5,30
196,2024-08-12 21:19:35.463764,4971.31,786,purchase,Los Angeles,0,21,12
197,2023-11-02 11:45:35.463767,2805.81,345,refund,Phoenix,0,11,2
198,2024-10-20 20:59:35.463771,4271.92,367,purchase,Houston,0,20,20
199,2024-05-15 05:18:35.463774,3715.22,722,purchase,New York,0,5,15
200,2024-05-20 16:17:35.463777,4240.22,883,purchase,Dallas,0,16,20
201,2024-03-07 02:21:35.463781,582.83,409,refund,Los Angeles,0,2,7
202,2024-06-27 22:53:35.463786,38.88,109,purchase,Chicago,0,22,27
